id,text,is_valid,departure_canonical,arrival_canonical,departure_surface,arrival_surface,departure_span_start,departure_span_end,arrival_span_start,arrival_span_end,has_noise,template_id
0,"S'il te plaît, je veux un itinéraire entre Port-Boulet et CLREMONT-FERRAND dans 2 heures le plus rapide possible tu peux regarder ?",1,Port-Boulet,Clermont-Ferrand,Port-Boulet,CLREMONT-FERRAND,43,54,58,74,1,254
1,Je veux une liaison ferroviaire Caen - La-Rochelle sans correspondance tu peux regarder ?,1,Caen,La Rochelle,Caen,La-Rochelle,32,36,39,50,1,235
2,J'aimerais un billet de train en partant de Rennes pour aller à Brest avec une correspondance Je dois rejoindre Orange avant de partir.,1,Rennes,Brest,Rennes,Brest,44,50,64,69,0,411
3,Peux-tu un itinéraire de lyon vers Marseille vendredi pas trop cher stp.,1,Lyon,Marseille,lyon,Marseille,25,29,35,44,1,56
4,"Hey, je veux une correspondance en partant de Bordeaux pour aller à nantes ce soir s'il te plaît.",1,Bordeaux,Nantes,Bordeaux,nantes,46,54,68,74,1,171
5,J’ai besoin de une liaison ferroviaire prais → Nice ce soir sans correspondance stp.,1,Paris,Nice,prais,Nice,39,44,47,51,1,246
6,Je veux un itinéraire Avignon → Nice avec une correspondance,1,Avignon,Nice,Avignon,Nice,22,29,32,36,0,386
7,Je souhaiterais un trajet PARIS - La-Rochelle en première classe ?,1,Paris,La Rochelle,PARIS,La-Rochelle,26,31,34,45,1,305
8,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
9,T'as des nouvelles de Albert ?,0,,,,,-1,-1,-1,-1,0,-1
10,J’ai besoin de un trajet en partant de Le-Mans pour aller à Rennes ce soir le plus rapide possible ?,1,Le Mans,Rennes,Le-Mans,Rennes,39,46,60,66,1,273
11,Tu peux une correspondance de Grenoble à L-Mans,1,Grenoble,Le Mans,Grenoble,L-Mans,30,38,41,47,1,261
12,Tu peux une correspondance ijon - Saint-Malo ?,1,Dijon,Saint-Malo,ijon,Saint-Malo,27,31,34,44,1,2
13,Peux-tu une liaison ferroviaire de beSAncn jusqu'à nancy aujourd'hui en seconde est-ce possible ?,1,Besançon,Nancy,beSAncn,nancy,35,42,51,56,1,175
14,Je souhaiterais un billet de Tours vers Perpignan dans 2 heures s'il te plaît.,1,Tours,Perpignan,Tours,Perpignan,29,34,40,49,0,74
15,"Bonjour, je veux une liaison ferroviaire Lyon - Le Mans avec une correspondance Avec Lourdes je voyage.",1,Lyon,Le Mans,Lyon,Le Mans,41,45,48,55,0,108
16,Peux-tu un voyage en partant de LIMOGES pour aller à Saint-Malo aujourd'hui en seconde stp.,1,Limoges,Saint-Malo,LIMOGES,Saint-Malo,32,39,53,63,1,32
